hh_identifier,settlement_name,characterisation_date,enumerator,kitchen_scale_number,type_of_settlement,transparent_bag,wood_leaves,cardboard_paper,plastic_bottles,plastic_bags,other_plastics,clothes_textiles,rubber,others
366,Chirimba,2022-11-18,Stanly,4,Informal,0.015,3.834,0.082,0.068,0.111,,,,
337,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,3.809,0.346,,,0.246,0.415,,
312,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,0.145,0.219,0.293,0.181,0.129,1.105,,
338,Chirimba,2022-11-18,Thandizo,4,Informal,0.015,7.218,0.105,0.168,,0.164,,,
364,Chirimba,2022-11-18,Stanly,4,Informal,0.015,1.254,0.16,0.14,0.179,0.093,0.032,0.049,
306,Chirimba,2022-11-18,Stanly,4,Informal,0.015,0.411,0.157,0.118,0.352,0.19,0.473,,
379,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,3.992,,0.138,0.029,0.229,0.028,,
357,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,6.371,,,,,,,
321,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,,0.739,0.183,,0.204,,,
322,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,4.752,0.159,0.114,,0.305,0.044,,
351,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,2.746,0.678,0.354,,0.068,,,
374,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,6.162,0.848,0.115,0.064,0.106,,,
323,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,6.65,1.477,0.394,0.742,0.328,0.18,,
375,Nyambadwe,2022-11-18,Emmanuel,4,Formal,0.019,7.551,,,0.04,0.102,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
