date_collect,settlement_name
2023-06-13,Namiwawa
2023-06-13,Ndirande
2023-06-16,Chirimba
2023-06-14,Naperi
2023-06-14,Sunnyside
2023-06-15,Kachere
2023-06-15,Bangwe
2023-06-16,Nyambadwe
